Page,Name,ASIN,Price,Sponsored,Rating,Total Reviews
2,"WRIGLEY'S DOUBLEMINT Mint Gum Chewing Gum Bulk Pack, 15 Stick (Pack of 10)",B00BTGI55Q,$16.90 ,No,4.8,"-2,016"
2,"ORBIT Bubblemint Sugarfree Gum, 8.8-Ounce Resealable Bag, 180 Pieces",B0083GJLT4,N/S,No,4.7,"-7,324"
2,"Dubble Bubble Gum, 53.9 Ounce - 340 Count Bucket",B00300CWEE,$9.99 ,No,4.7,"-8,989"
2,"Orbit Bubble Gum Cups, Bubble Mint, 55 pieces bottle, 4-Count",B00B2AD76G,$20.94 ,No,4.6,-747
2,"WRIGLEY'S DOUBLEMINT Gum, 5 stick pack (40 Packs)",B003MZBD1U,$14.00 ,No,4.7,"-6,015"
2,"5 Gum RPM Mint Sugarfree Gum, 15 piece (10 Packs)",B00DISFHOU,$14.90 ,No,4.7,-892
2,"ORBIT Peppermint, Spearmint, & Wintermint Assorted Sugar Free Chewing Gum Bulk Pack, 13.4 oz 200-Piece Bag",B08NZNPZS8,$18.83 ,No,4.8,"-1,404"
2,Hubba Bubba Original Bubble Tape and Hubba Bubba Sour Blue Raspberry Bubble Tape Bundle | 6 Feet of Gum Each Tape | 2 Original Flavor Gum and 2 Blue Raspberry Gum | Pack of 4 Total,B0932LJ1R6,$8.58 ,No,4.6,-274
2,"Dentyne Fire Spicy Cinnamon Sugar Free Gum, Pack of 9 (144 Total Pieces)",B00IO2D93Q,$9.84 ,No,4.7,"-5,612"
2,"Hubba Bubba Gum Awesome Original Bubble Gum Tape, 2 Ounce (Pack of 6)",B071XNN1J5,$8.94 ,No,4.8,"-3,725"
2,"EXTRA Refreshers Spearmint Chewing Gum, 40 Pieces (Pack of 4)",B07RB1PDKF,$15.16 ,No,4.7,"-1,639"
3,"5 Gum Spearmint Rain Sugarfree Gum, 15 Piece (10 pack)",B0034KWJB6,N/S,No,4.8,"-2,630"
3,"Stevita Hum, Fruit - Sugar-Free Gum - 12 Pack (12 Pieces/Pack) - Supports Oral Health - Non-GMO, Vegetarian, Keto, Gluten Free - 72 Total Servings",B01D3JHA0C,$24.82 ,No,3.8,-112
3,"ORBIT Spearmint Sugar Free Chewing Gum, 30 Count (Pack of 6)",B08ZTPK6QP,$19.14 ,No,4.8,-218
3,"Extra Peppermint Gum, 15-Stick Slim Packs (Pack of 20)",B001D3K2HE,N/S,No,4.7,-693
3,"Extra, Spearmint Sugarfree Gum, 8 ct",B01I9XNWTU,N/S,No,4.8,-834
3,"Wrigley's Big Red, Pack of 10",B001D3NXYS,$11.60 ,No,4.8,"-2,954"
3,"Juicy Fruit Original Chewing Gum, 45 ct",B00DY604V2,$3.48 ,No,4.6,-643
3,JUICY FRUIT Original Bubble Chewing Gum,B00GFYYWV8,$8.64 ,No,4.7,"-2,867"
3,Bazooka Bubble Gum 225 Count Individually Wrapped Chewing Gum - Original Flavor - Pink Candy Bulk Bubble Gum Tub - Easter Candy Bulk - Fun Easter Decorations & Easter Basket Stuffers,B00NG07SO2,$16.49 ,No,4.4,"-8,517"
3,"PUR Gum 6 Flavor Assortment Spearmint, Peppermint, Pomegranate Mint, Wintergreen, Cinnamon, Coolmint",B00KYHMWWS,$24.98 ,No,4.6,"-1,785"
3,"Trident Sugar Free Gum Variety Pack, Watermelon Twist & Tropical Twist Flavors, 15 Packs of 14 Pieces (210 Total Pieces)",B0898BVRK5,$16.48 ,No,4.6,"-1,157"
3,"Pur Gum, Peppermint, 2.72-Ounce, 2 Pack",B00KC44YJM,$10.23 ,No,4.5,-470
3,"Trident Sugar Free Gum, Mint Bliss Flavor, 60 Packs (840 Pieces Total)",B071YV7GSS,$59.96 ,No,4.7,-147
3,"Dentyne Ice Peppermint Sugar Free Gum, 4 Bottles of 60 Pieces (240 Total Pieces)",B001M1V5P0,N/S,No,4.8,-571
3,Ice Breakers Ice Cubes – Limited Edition Snow Cone Sugar Free Gum – 40 Count Pack of 4 (160 pieces) Refreshingly Cool Cubed – 3.24-Ounces – 40 Count Bottle – 4 Packs of Flavored Snow Cone Gum,B0B2C149D2,$14.99 ,No,4.4,-87
3,Extra Long Lasting Flavor Sampler Pack | Sugar-Free | Assorted Flavor (6 Pack) Receive 6 out of the 10 flavors - Niro Assorted Flavors,B09TTYPGD4,$14.95 ,No,3.4,-179
3,Dubble Bubble - Delicious Assorted Flavor Wrapped Bubble Gum 1.5 lbs Apple Watermelon Grape Bulk Candy with Refrigerator Magnet,B07X5MN3ZG,$12.99 ,Yes,4.4,"-1,976"
3,"Xylichew 100% Xylitol Chewing Gum - Non GMO, Non Aspartame, Gluten Free, and Sugar Free Gum - Natural Oral Care, Relieves Bad Breath and Dry Mouth - Fruit,60 Count (Pack of 4), 240 Count",B00IJVDIRY,$34.86 ,No,4.1,"-1,035"
3,"GUM-897 Crayola Kids' Flossers, Grape, Fluoride Coated, Ages 3+, 75 Count",B01LYQPATI,$7.05 ,No,4.8,"-17,360"
3,"Pur Gum Peppermint, 2.72 Ounce , 3 Bags",B00SLMZHTI,$14.98 ,No,4.7,"-2,517"
3,"GUM - 6323R Soft-Picks Original Dental Picks, 50 Count",B079KFZKR7,$2.49 ,No,4.6,"-16,123"
3,"PUR Gum Spearmint, 55Count, 3 Pack",B00SLMLC4C,$17.01 ,No,4.7,-954
3,"Trident White Sugar Free Gum, Spearmint Flavor, 1 Go-Cup (60 Pieces Total)",B01LF74EHG,N/S,No,4.6,-460
3,"PUR Gum, Cinnamon, 55 Count (Pack of 2)",B00U6E0W62,$13.99 ,No,4.6,"-1,557"
3,GYMGUM Super Energy Caffeine Gum | 100mg Caffeine per gum + B Vitamin Complex + Natural Ginseng | 0 Calories | Sugar Free | Perfect Pre-Workout/Ultimate Energy Gum (35 Count),B0BBSQKG2Y,$12.99 ,No,3.3,-92
3,MASTIKA GUM | Natural Premium Mastic Flavored Chewing Gum | Sugar Free + Aspartame Free | Long Lasting Natural Mastic Flavor | Non GMO + Gluten Free | Vegan + Keto Friendly | Pack of 12 Pieces,B09J42PXCB,$7.00 ,No,3.6,-146
3,"Simply Mints (Peppermint, 45 Count (1 Tin))",B07FGKXPHP,N/S,No,4.5,-660
3,Flossaid Floss Aid Gum Stimulator Masssager,B008ITFTGK,$4.89 ,No,4.4,-51
3,"GUM - 6324A Soft-Picks Original Dental Picks, 320 Count",B06XQSG36Q,$16.74 ,No,4.7,"-10,185"
3,"Rev Gum Caffeine Energy Gum | Extra Strength 100mg of Caffeine per Gem | Polar Mint Sugar Free Caffeine Gum - Low Calorie Chews to Help You Stay Alert, Awake and Focused - Mint Chewing Gum - 12 Packs (72 Count)",B09HHMTNC7,$37.99 ,No,4.4,-743
3,"Refresh Gum Garden Mint Sugar Free Chewing Gum - Xylitol, Plant-Based, Synthetic-Free, Vegan & Non-GMO (6 Pack)",B0BMM6XKD4,$17.99 ,No,3.6,-7
3,Simply Gum | Sugar Free Xylitol Chewing Gum | Spearmint | Pack of Six (90 Pieces Total) | Synthetic Free + Sugar Free + Aspartame Free,B0BJZBF5C1,$14.99 ,No,3.3,-174
3,Glee Gum Natural Vegan Chewing Gum 55 PC (Peppermint Pack of 1),B096YDR34Y,$6.29 ,No,3.9,-143
3,"Xylichew 100% Xylitol Chewing Gum Jars - Non GMO, Gluten, Aspartame, and Sugar Free Gum - Natural Oral Care, Relieves Bad Breath and Dry Mouth - Cinnamon, 60 Count (Pack of 4)",B00IJVDIR4,$36.96 ,No,4,-507
3,"ICE BREAKERS ICE CUBES Raspberry Sorbet Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Bottle (40 Pieces)",B00X3G8R80,N/S,No,4.6,-486
3,"JUICY FRUIT Original Bubble Chewing Gum, 5 Count (Pack of 18)",B00JZLX71E,$21.32 ,No,4.7,"-1,705"
3,"5 Gum, Spearmint Rain, Sugar Free, 15-ct",B0010XVT2Y,N/S,No,4.7,-421
3,"Juicy Fruit, Fruity Sugarfree Chewing Gum, 120 ct",B00QT2ACY2,$15.16 ,No,4.8,-415
3,"GUM Crayola Twistables Flossers, Fluoride Coated, Twisted Fruit Flavors, Ages 3+, 90 Count - 859R",B083F7J4CT,$2.99 ,No,4.7,"-3,652"
3,Ford Gum Smarties Bubblegum 10-Ball Gumball Tube - 12 Count Display,B083Y7H24R,$18.97 ,No,4.7,-249
3,GUM'N REAL | Sugar Free Natural Chewing Gum | Pack of 6 (102 Pieces Total) | 100% Xylitol + Naturally Flavored + Aspartame Free + Vegan (Peppermint),B09Y5F6XC2,$14.90 ,No,3.7,-32
3,"ORBIT Gum WHITE Peppermint Sugar Free Chewing Gum, 8.5 Ounces Resealable Bag 120 Pieces (8 Pack)",B078BTCS7B,$66.24 ,No,4.7,-317
3,"GUM - 6325A Soft-Picks Original Dental Picks, 270 Count",B073C6LMJD,$13.99 ,No,4.7,"-9,369"
3,"PUR Gum Aspartame-Free Bubblegum and Chocolate Mint, 2.72 Ounces each",B01ITST73U,$11.94 ,No,4.5,-543
3,"Retro Chewing Gum Pack – Black Jack, Beemans, and Clove Gum Variety Pack of 12",B07SSVKFT5,$10.77 ,No,4,-308
3,Wrigleys Juicy Fruit Original Sticks - 10x15/150ct,B00BPXMJH8,$16.29 ,No,4.5,-133
3,"GUM - 10070942302408 Expanding Dental Floss, 43.3 Yards (Pack of 6)",B07F3YBGQK,$5.12 ,No,4.5,"-4,158"
3,GUM Soft-Picks Comfort Mint Flex Easy to Use Dental Picks for Teeth Cleaning and Gum Health with Convenient Carry Case Dentist Recommended Dental Picks (80 Count),B083F7P25B,$7.99 ,No,4.6,"-5,787"
3,"GUM - 872FC6 Proxabrush Go-Betweens Interdental Brushes, Tight, 10 Count (Pack of 6)",B07B9FFHS6,$17.94 ,No,4.7,"-10,331"
